Food_items,Calories,Total fat (g),Sat Fat (g),Trans fat (g),Cholesterols (mg),Sodium (mg),Carbohydrate (g),Sugars (g),Fiber(g),Protein (g),Category
Abita Root Beer Bottle,180 ,0 ,0 ,0 ,0 ,16 ,44 ,0 ,38 ,0 ,Fastfood
Abita Root Beer Large,280 ,0 ,0 ,0 ,0 ,25 ,69 ,0 ,59 ,0 ,Fastfood
Abita Root Beer Small,170 ,0 ,0 ,0 ,0 ,15 ,42 ,0 ,36 ,0 ,Fastfood
Add Cheese Sauce,80 ,7 ,5 ,0 ,30 ,95 ,1 ,0 ,0 ,2 ,Fastfood
American Cheese,40 ,4 ,2 ,0 ,10 ,210 ,1 ,0 ,0 ,2 ,Fastfood
American Cheese,70 ,6 ,4 ,0 ,15 ,340 ,1 ,0 ,0 ,4 ,Fastfood
American Chicken Burger,447 ,23 ,7 ,0 ,48 ,1132 ,39 ,7 ,0 ,20 ,Fastfood
American Chicken Burger,447 ,23 ,7 ,0 ,48 ,1132 ,39 ,7 ,0 ,20 ,Fastfood
American Club,430 ,24 ,10 ,1 ,120 ,1700 ,14 ,3 ,7 ,41 ,Fastfood
American Mud Pie Shake,398 ,13 ,11 ,0 ,11 ,186 ,65 ,53 ,0 ,6 ,Fastfood
American Triple Cheese Chicken,458 ,23 ,12 ,0 ,71 ,1396 ,37 ,8 ,0 ,24 ,Fastfood
American Triple Cheese Veg,525 ,23 ,15 ,0 ,49 ,1174 ,56 ,8 ,0 ,20 ,Fastfood
American Veg Burger,512 ,23 ,11 ,0 ,25 ,1051 ,57 ,8 ,8 ,15 ,Fastfood
Americano,23 ,0 ,0 ,0 ,0 ,1 ,5 ,0 ,0 ,1 ,Beverages
Americano (L),27 ,0 ,0 ,0 ,1 ,1 ,5 ,0 ,0 ,1 ,Fastfood
Americano (R),23 ,0 ,0 ,0 ,0 ,1 ,5 ,0 ,0 ,1 ,Fastfood
Americano (S),13 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,Fastfood
Apple Cider Donut Shake,970 ,45 ,25 ,0 ,250 ,580 ,123 ,1 ,99 ,21 ,Fastfood
Artisan Flatbread,230 ,4 ,1 ,0 ,0 ,330 ,43 ,4 ,3 ,8 ,Fastfood
B.L.T.,340 ,23 ,8 ,0 ,65 ,1060 ,10 ,3 ,6 ,23 ,Fastfood
Babycino,144 ,4 ,3 ,0 ,12 ,96 ,23 ,19 ,0 ,4 ,Fastfood
banana bowl,47 ,0 ,0 ,0 ,0 ,0 ,12 ,10 ,0 ,0 ,Fruits
Bacon,70 ,6 ,2 ,0 ,15 ,250 ,1 ,0 ,1 ,5 ,Meat
Bacon,70 ,6 ,2 ,0 ,15 ,250 ,1 ,0 ,1 ,5 ,Fastfood
Bacon,70 ,6 ,2 ,0 ,15 ,250 ,1 ,0 ,1 ,5 ,Fastfood
Bacon (2 Slices),70 ,5 ,2 ,0 ,15 ,290 ,0 ,0 ,0 ,6 ,Fastfood
Bacon Breakfast Sandwich,400 ,23 ,10 ,0 ,230 ,890 ,25 ,0 ,5 ,23 ,Fastfood
Bacon Breakfast Sandwich (Double Egg),490 ,30 ,12 ,0 ,410 ,990 ,26 ,0 ,6 ,29 ,Fastfood
Bacon Cheese Fries,840 ,52 ,21 ,0 ,125 ,1570 ,65 ,7 ,1 ,24 ,Fastfood
"Bacon Cheeseburger, double",760 ,47 ,21 ,2 ,190 ,2510 ,25 ,0 ,6 ,58 ,Fastfood
"Bacon Cheeseburger, single",500 ,29 ,13 ,1 ,110 ,1480 ,25 ,0 ,5 ,35 ,Fastfood
"Bacon, Egg & Cheese",460 ,20 ,7 ,0 ,190 ,1200 ,47 ,4 ,4 ,25 ,Fastfood
"BACON,MEATLESS",309 ,27 ,5 ,0 ,0 ,1465 ,5 ,0 ,3 ,12 ,Meat
Banana Peppers,0 ,0 ,0 ,0 ,0 ,65 ,0 ,0 ,0 ,0 ,Fastfood
BBQ Chicken,330 ,4 ,1 ,0 ,50 ,860 ,50 ,2 ,16 ,24 ,Fastfood
BBQ diping sauce,55 ,0 ,0 ,0 ,0 ,113 ,12 ,8 ,0 ,0 ,Fastfood
BBQ Rib,580 ,31 ,10 ,0 ,60 ,1260 ,54 ,3 ,18 ,21 ,Fastfood
BBQ Rib,440 ,30 ,10 ,0 ,60 ,910 ,28 ,5 ,20 ,17 ,Fastfood
BBQ Rib Signature Wrap,1080 ,65 ,23 ,0 ,115 ,2560 ,86 ,5 ,12 ,38 ,Fastfood
BBQ Rib Signature Wrap,1080 ,65 ,23 ,0 ,115 ,2560 ,86 ,5 ,32 ,38 ,Fastfood
BBQ Sauce,70 ,0 ,0 ,0 ,0 ,380 ,16 ,0 ,14 ,1 ,Fastfood
Beer Float,490 ,15 ,9 ,0 ,100 ,190 ,52 ,0 ,30 ,8 ,Fastfood
Black & White Shake,770 ,42 ,26 ,0 ,245 ,460 ,80 ,0 ,76 ,19 ,Fastfood
Black Forest Ham,450 ,12 ,5 ,0 ,55 ,1680 ,57 ,4 ,5 ,29 ,Meat
Black Forest Ham,260 ,4 ,2 ,0 ,30 ,720 ,42 ,5 ,8 ,18 ,Fastfood
Black Forest Ham,450 ,12 ,5 ,0 ,55 ,1680 ,57 ,4 ,5 ,29 ,Fastfood
Black Forest Ham,170 ,5 ,2 ,0 ,55 ,1010 ,12 ,3 ,6 ,21 ,Fastfood
Black Forest Ham,120 ,3 ,1 ,0 ,30 ,550 ,12 ,4 ,6 ,13 ,Fastfood
"Black Forest Ham, Egg & Cheese",420 ,16 ,5 ,0 ,185 ,1190 ,47 ,4 ,4 ,24 ,Fastfood
Black Olives,0 ,0 ,0 ,0 ,0 ,25 ,0 ,0 ,0 ,0 ,Fastfood
blueberries,57 ,0 ,0 ,0 ,0 ,1 ,14 ,10 ,2 ,1 ,Fruits
"BLUEBERRIES,RAW",57 ,0 ,0 ,0 ,0 ,1 ,14 ,10 ,2 ,1 ,Fruits
blueberry yogurt,160 ,2 ,1 ,0 ,9 ,123 ,26 ,10 ,2 ,9 ,Dairy products
Bourbon Salted Honey Shake,890 ,44 ,27 ,0 ,260 ,700 ,89 ,0 ,87 ,18 ,Fastfood
"Brat Burger, Double",1050 ,73 ,25 ,2 ,205 ,2530 ,34 ,0 ,6 ,62 ,Fastfood
"Brat Burger, Single",860 ,61 ,20 ,1 ,140 ,1850 ,34 ,0 ,6 ,44 ,Fastfood
Brooklyn Brewery ShackMeister Ale (16oz. Draft),210 ,0 ,0 ,0 ,0 ,0 ,17 ,0 ,0 ,2 ,Fastfood
Brooklyn Brewery ShackMeister Ale (24oz. Draft),310 ,0 ,0 ,0 ,0 ,0 ,25 ,0 ,0 ,4 ,Fastfood
Brooklyn Brewery ShackMeister Ale (32oz. Draft),420 ,0 ,0 ,0 ,0 ,0 ,33 ,0 ,0 ,5 ,Fastfood
Brooklyn Brewery ShackMeister Ale (60oz. Draft),780 ,0 ,0 ,0 ,0 ,0 ,62 ,0 ,0 ,9 ,Fastfood
Buffalo Chicken,360 ,12 ,2 ,0 ,55 ,7710 ,39 ,3 ,5 ,24 ,Fastfood
Buffalo Chicken,370 ,20 ,4 ,0 ,110 ,14860 ,13 ,3 ,7 ,35 ,Fastfood
Buffalo Chicken,220 ,11 ,2 ,0 ,55 ,7470 ,12 ,4 ,6 ,20 ,Fastfood
Burger Patty,190 ,12 ,5 ,1 ,65 ,690 ,0 ,0 ,0 ,19 ,Fastfood
butter crossiant,406 ,18 ,12 ,0 ,67 ,467 ,46 ,11 ,3 ,8 ,Desserts
